,Student name,Image_ID,Dissected?,Replicate,Pop,Assay,Parent_Gen,Incubator_Temp,WB_Temp,Sex,Femur_Length,Wing_Length,Body_Area,Comments,No_wing,No_femur
,,IMG01117,Y,2,2,PA,0,Random,31,F,11.198,42.183,NA,,,
,,IMG01118,N,3,2,PA,0,Random,31,F,NA,NA,676.67,,,
,,IMG01119,Y,3,2,PA,0,Random,31,F,12.153,42.568,NA,,,
,Trisha,IMG05470,N,4,2,PA,0,Random,31,F,NA,NA,819.913,,,
,Trisha,IMG05471,Y,4,2,PA,0,Random,31,F,11.265,45.306,NA,,,
,Trisha,IMG05472,N,5,2,PA,0,Random,31,F,NA,NA,787.542,,,
,Trisha,IMG05473,Y,5,2,PA,0,Random,31,F,11.822,47.431,NA,,,
,,,,,,,,,,,,,,,,
,,IMG00910,N,1,3,PA,0,Random,23,F,NA,NA,974.949,,,
,,IMG00911,Y,1,3,PA,0,Random,23,F,13.983,50.546,NA,,,
,,IMG00912,N,2,3,PA,0,Random,23,F,NA,NA,1017.726,,,
,,IMG00913,Y,2,3,PA,0,Random,23,F,13.165,53.001,NA,,,
,,IMG00914,N,3,3,PA,0,Random,23,F,NA,NA,869.22,,,
,,IMG00915,Y,3,3,PA,0,Random,23,F,13.702,52.079,NA,,,
,Trisha,IMG05338,N,4,3,PA,0,Random,23,F,NA,NA,898.116,,,
,Trisha,IMG05339,Y,4,3,PA,0,Random,23,F,12.565,53.657,NA,,,
,Trisha,IMG05340,N,5,3,PA,0,Random,23,F,NA,NA,914.334,,,
,Trisha,IMG05341,Y,5,3,PA,0,Random,23,F,11.75,48.54,NA,,,
,,,,,,,,,,,,,,,,
,,IMG00964,N,1,3,PA,0,Random,25,F,NA,NA,623.083,,,
,,IMG00965,Y,1,3,PA,0,Random,25,F,13.983,40.627,NA,,,
,,IMG00966,N,2,3,PA,0,Random,25,F,NA,NA,644.749,,,
,,IMG00967,Y,2,3,PA,0,Random,25,F,12.434,41.947,NA,,,
,,IMG00968,N,3,3,PA,0,Random,25,F,NA,NA,597.415,,,
,,IMG00969,Y,3,3,PA,0,Random,25,F,12.197,42.64,NA,,,
,Trisha,IMG05370,N,4,3,PA,0,Random,25,F,NA,NA,872.289,,,
,Trisha,IMG05371,Y,4,3,PA,0,Random,25,F,12.477,51.275,NA,,,
,Trisha,IMG05372,N,5,3,PA,0,Random,25,F,NA,NA,938.531,,,
,Trisha,IMG05373,Y,5,3,PA,0,Random,25,F,12.572,50.617,NA,,,
,,,,,,,,,,,,,,,,
,,IMG01018,N,1,3,PA,0,Random,27,F,NA,NA,874.473,,,
,,IMG01019,Y,1,3,PA,0,Random,27,F,12.698,44.235,NA,,,
,,IMG01020,N,2,3,PA,0,Random,27,F,NA,NA,744.542,,,
,,IMG01021,Y,2,3,PA,0,Random,27,F,12.427,48.68,NA,,,
,,IMG01022,N,3,3,PA,0,Random,27,F,NA,NA,747.138,,,
,,IMG05402,Y,3,3,PA,0,Random,27,F,12.13,46.692,NA,,,
,Trisha,IMG05402,N,4,3,PA,0,Random,27,F,NA,NA,902.983,,,
,Trisha,IMG05403,Y,4,3,PA,0,Random,27,F,12.273,48.808,NA,,,
,Trisha,IMG05404,N,5,3,PA,0,Random,27,F,NA,NA,869.187,,,
,Trisha,IMG05405,Y,5,3,PA,0,Random,27,F,12.056,49.63,NA,,,
,,,,,,,,,,,,,,,,
,,IMG01072,N,1,3,PA,0,Random,29,F,NA,NA,932.2,,,
,,IMG01073,Y,1,3,PA,0,Random,29,F,12.793,43.916,NA,,,
,,IMG01074,N,2,3,PA,0,Random,29,F,NA,NA,851.81,,,
,,IMG01075,Y,2,3,PA,0,Random,29,F,10.861,46.738,NA,,,
,,IMG01076,N,3,3,PA,0,Random,29,F,NA,NA,932.455,,,
,,IMG01077,Y,3,3,PA,0,Random,29,F,12.827,43.571,NA,,,
,Trisha,IMG05438,N,4,3,PA,0,Random,29,F,NA,NA,870.139,,,
,Trisha,IMG05439,Y,4,3,PA,0,Random,29,F,11.536,44.866,NA,,,
,Trisha,IMG05440,N,5,3,PA,0,Random,29,F,NA,NA,752.984,,,
,Trisha,IMG05441,Y,5,3,PA,0,Random,29,F,11.528,47.279,NA,,,
,,,,,,,,,,,,,,,,
,,IMG01120,N,1,3,PA,0,Random,31,F,NA,NA,685.57,,,
,,IMG01121,Y,1,3,PA,0,Random,31,F,10.349,40.179,NA,,,
,,IMG01122,N,2,3,PA,0,Random,31,F,NA,NA,687.528,,,
,,IMG01123,Y,2,3,PA,0,Random,31,F,12.827,45.273,NA,,,
,,IMG01124,N,3,3,PA,0,Random,31,F,NA,NA,790.775,,,
,,IMG01125,Y,3,3,PA,0,Random,31,F,12.406,46.389,NA,,,
,Trisha,IMG05474,N,4,3,PA,0,Random,31,F,NA,NA,757.849,,,
,Trisha,IMG05475,Y,4,3,PA,0,Random,31,F,11.25,47.106,NA,,,
,Trisha,IMG05476,N,5,3,PA,0,Random,31,F,NA,NA,695.088,,,
,Trisha,IMG05477,Y,5,3,PA,0,Random,31,F,11.376,47.362,NA,,,
,,,,,,,,,,,,,,,,
,,IMG00916,N,1,4,PA,0,27,23,F,NA,NA,906.953,,,
,,IMG00917,Y,1,4,PA,0,27,23,F,11.389,47.892,NA,,,
,,IMG00918,N,2,4,PA,0,27,23,F,NA,NA,974.227,,,
,,IMG00919,Y,2,4,PA,0,27,23,F,13.239,50.488,NA,,,
,,IMG00920,N,3,4,PA,0,27,23,F,NA,NA,752.071,,,
,,IMG00921,Y,3,4,PA,0,27,23,F,13.211,48.667,NA,,,
,Trisha,IMG05342,N,4,4,PA,0,27,23,F,NA,NA,983.626,,,
,Trisha,IMG05343,Y,4,4,PA,0,27,23,F,12.349,54.153,NA,,,
